year,Index offense rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
1960,1222,186.6,12.4,8.6,27.5,138.1,1035.4,355.9,592.1,87.3
1960,1649.2,104.3,10.2,20.8,28.3,45.1,1544.9,332.1,970.5,242.3
1960,3013.7,207.7,6,16.1,54.2,131.4,2806,685.5,1782.2,338.4
1960,1034.1,107.7,8.5,8.9,24.8,65.5,926.4,302.2,573.8,50.3
1960,3474.3,239,3.9,18.2,97.3,119.6,3235.4,910.5,1984.8,340.1
1960,2172.4,137.3,4.2,13.1,77.7,42.4,2035.1,569.9,1251.4,213.8
1960,1156.5,36.6,1.6,4.1,9.3,21.6,1119.9,333.4,656.9,129.7
1960,2160.5,84,7.4,9.2,35.2,32.3,2076.4,596.2,1314.6,165.6
1960,2712.9,553.7,10.6,14.5,140.3,388.2,2159.2,600.4,1296.5,262.2
1960,2704.6,223.4,10.6,8.1,80.9,123.7,2481.2,807.1,1486.5,187.6
1960,1407.9,158.8,11.9,7.5,24.7,114.8,1249.1,392.1,709.6,147.4
1960,2298.3,21.8,2.4,3.3,10.9,5.2,2276.5,525.9,1480.6,269.9
1960,1771,38.2,2.4,7.2,13.8,14.8,1732.8,301.4,1331.4,100
1960,2341.8,365.1,4.9,17.6,208.8,133.8,1976.8,577.7,1045.7,353.3
1960,1553.7,84.6,4.4,5.1,34.5,40.6,1469.1,460.8,840.7,167.6
1960,1123.9,23.8,0.6,3.7,10.9,8.6,1100.1,231.2,792.9,76
1960,1395,58.4,2.9,5,18.8,31.6,1336.6,353.7,895.8,87.2
1960,1212.7,97.3,6.7,5.4,32.9,52.3,1115.4,371.1,619.8,124.5
1960,1495.2,153.2,8.3,8.6,45.6,90.8,1342,387.3,764.3,190.4
1960,1188.2,29.8,1.7,5,7.9,15.3,1158.4,278.8,756.7,123
1960,1670,151.3,5.4,7.2,37.3,101.3,1518.8,366.4,968.3,184.1
1960,1219.1,48.8,1.4,4.8,20.4,22.1,1170.3,309.2,650.1,211.1
1960,2659.2,217.7,4.5,14.5,93.7,105,2441.5,725.1,1536.9,179.5
1960,1466.1,42,1.2,2.4,27.8,10.6,1424,370.4,916.9,136.7
1960,704.7,102.7,10,5.1,14.9,72.6,602,204.7,349.1,48.3
1960,1972.6,172.9,4.4,14.5,90.6,63.4,1799.7,595.2,1019.7,184.8
1960,2052.6,67.1,3.9,7.1,27.6,28.6,1985.4,396.4,1345.5,243.5
1960,1219.6,41.8,2.3,4.2,17.9,17.4,1177.8,231.5,820.9,125.4
1960,3440.5,145.8,8.8,12.6,74,50.5,3294.7,913.5,1989.3,391.9
1960,689.7,13.3,1.3,4.1,3,4.9,676.4,182.6,436,57.8
1960,1490.8,114.3,2.7,7.3,42.7,61.6,1376.5,423.6,756.6,196.3
1960,2386.6,143,7.4,12.3,39.5,83.8,2243.6,455.4,1524.8,263.4
1960,0,0,0,0,0,0,0,0,0,0
1960,1179.5,223.5,10.6,7.8,18.1,187,956,279.4,589.6,86.9
1960,891,14.2,0.5,2.2,6.3,5.2,876.8,198,610.8,68
1960,1558.8,83.7,3.2,5.9,40.1,34.5,1475.2,383.9,956.7,134.6
1960,2015.3,97,7.5,12.8,39.9,36.8,1918.4,551.2,1171.2,195.9
1960,1977.2,69.7,2.4,9.4,31.8,26,1907.5,405.7,1371.2,130.7
1960,1049.4,99,2.6,8.8,33.9,53.6,950.5,297.8,530.3,122.4
1960,2072.4,36.8,1,2.3,14.2,19.2,2035.6,510.5,1216.4,308.7
1960,1500.2,143.7,13.2,9.9,20.1,100.6,1356.5,423.1,824.1,109.2
1960,1164,41.4,2.1,5.4,9.1,24.8,1122.5,247.9,788.1,86.6
1960,1240.5,91.1,8.5,5.4,26.9,50.3,1149.4,462.7,565.2,121.5
1960,2217.3,161,8.6,9.3,31.6,111.5,2056.2,601.2,1288.3,166.8
1960,2541.4,54.3,1,6.8,20.8,25.7,2487,410.4,1917.9,158.8
1960,825.4,9.5,0.3,2.3,2.3,4.6,815.9,242.1,486.8,86.9
1960,1652.9,183.7,12.3,8,26.3,137.1,1469.2,393.1,949.3,126.7
1960,2232.1,56.6,2.1,5.8,31.1,17.6,2175.5,487.5,1530.1,158
1960,720.7,64.5,4.4,4.2,12.8,43.2,656.2,234.2,352.5,69.4
1960,1145.6,31.9,1.3,2.8,8.3,19.6,1113.7,198.6,810.6,104.4
1960,1924.2,109.7,4.8,7,53.3,44.5,1814.5,299.9,1399.7,114.8
1961,1154,168.5,12.9,7.6,19.1,128.9,985.5,339.3,569.4,76.8
1961,1629.5,88.9,11.5,13.2,12.4,51.7,1540.6,380.8,950,209.8
1961,3133.9,164.5,6,14.4,56.5,87.6,2969.4,737.7,1876.3,355.4
1961,1037.6,100.7,9.1,7.2,24.8,59.5,936.9,308.1,568.2,60.6
1961,3410.1,232.7,3.7,18.5,90.5,120,3177.5,894.2,1950.6,332.7
1961,2404,149.3,4.7,12.9,91.7,40,2254.7,655.9,1322.3,276.5
1961,1244.7,33.6,1,2.4,9.1,21.1,1211.1,364.4,715.8,130.8
1961,2109.4,69.4,4.4,5.9,27.1,32.1,2040,591.9,1284.9,163.1
1961,2825.3,587.9,11.5,13.1,176.4,386.8,2237.4,641.7,1273.9,321.9
1961,2461.1,217.8,9.1,7.6,71.7,129.4,2243.3,720.5,1353,169.7
1961,1497.7,157.2,10,9.5,28.3,109.4,1340.5,437.4,746.1,157
1961,2522.2,24.5,2.3,3.8,10.7,7.8,2497.7,595,1597.9,304.9
1961,1862.3,32.5,2,6.4,9.4,14.6,1829.8,322.1,1394.7,113
1961,2444.5,362.2,4.8,17.2,204.5,135.7,2082.3,586.9,1140.6,354.8
1961,1632.7,85.8,4.1,5.3,38.8,37.6,1546.8,470.4,899.6,176.8
1961,1080.8,23.1,1.3,2.9,10.5,8.5,1057.6,228.7,759.1,69.8
1961,1422.1,58.4,1.9,5.4,21,30.2,1363.6,331.6,946.4,85.7
1961,1199.9,94.5,6.5,4.7,35.3,48,1105.4,366.4,630.8,108.3
1961,1256.4,135.7,6.4,8,44.4,76.9,1120.7,336.6,614.4,169.6
1961,1114.8,33.7,1.6,5.8,8.8,17.4,1081.1,299.3,705.8,76
1961,1790,155.6,4.5,8.2,41.7,101.1,1634.4,387.3,1049.6,197.5
1961,1462.7,53.1,1.5,5.6,20.4,25.7,1409.7,376.1,762,271.6
1961,2692.1,207.4,4.1,13.7,81,108.6,2484.7,724.8,1583.7,176.3
1961,1451.6,43.4,1,2.7,27.4,12.3,1408.2,381.1,892.5,134.6
1961,732.1,102.7,10.3,5.8,15.6,70.9,629.4,212.3,357.9,59.2
1961,2051.8,166,5.1,13.2,83.1,64.6,1885.9,611.7,1106.2,167.9
1961,2021.1,67,2.5,7,25.4,32.1,1954.1,418.9,1311.9,223.3
1961,1281.8,41,2.4,3.3,16.4,18.9,1240.8,260.7,864.6,115.6
1961,3620.4,183.6,7,8,106,62.5,3436.8,911,2052.2,473.6
1961,805.3,14.3,0.6,3.1,3.4,7.2,791,253.3,464.4,73.3
1961,1538.4,107,2.5,7.3,38,59.3,1431.4,469.7,755,206.6
1961,2192.4,130,6.8,12.9,38.8,71.5,2062.4,443.2,1398.2,221
1961,0,0,0,0,0,0,0,0,0,0
1961,1190.6,201,9.2,7.3,15,169.5,989.5,292.3,607.5,89.8
1961,893.3,25,0.9,5.2,10.6,8.3,868.3,200.9,597.2,70.2
1961,1583.6,80.9,3.1,5.6,39.6,32.5,1502.7,401.8,979,122
1961,1950.4,103.3,5,12.1,34.6,51.5,1847.1,533.3,1123.4,190.4
1961,2001.1,69,2.7,7.7,34.8,23.9,1932.1,404.4,1388.7,138.9
1961,1047.4,97.9,2.6,7.3,35.7,52.2,949.6,317.3,512.1,120.1
1961,1876.2,42.9,1,1.7,13.3,26.9,1833.3,454.1,1128.1,251.1
1961,1586,137.8,11.6,9.3,20.8,96.1,1448.2,478.8,851.8,117.5
1961,1138.7,35.5,1.7,6.1,8.8,18.8,1103.2,239.9,771.4,91.9
1961,1269.1,108.2,8,6.7,30.4,63,1160.9,462,559.7,139.2
1961,2128.2,157.8,8.1,9.5,31.1,109.1,1970.5,580.4,1233.2,156.8
1961,2097.2,49.2,1.7,6.8,20.3,20.4,2047.9,388.4,1482,177.5
1961,816.7,20,1.5,9.1,4.1,5.3,796.7,335.2,377,84.6
1961,1770.2,186.1,8.6,10.2,26.2,141.1,1584,423.8,1025.5,134.7
1961,2231.3,58.1,2.2,6.2,31.1,18.7,2173.2,471.9,1531.7,169.6
1961,662.3,63.1,4.4,4.4,11.7,42.6,599.2,237.6,293.3,68.3
1961,1191.9,31.5,1.6,2.5,9,18.5,1160.3,224.3,850.2,85.8
1961,1966.3,85.2,3.3,3.6,35.8,42.6,1881.1,362.7,1404.4,113.9
1962,1224.3,157.3,9.4,6.5,22.5,119,1067,349.1,634.5,83.4
1962,1656.1,91.5,4.5,18.7,13.8,54.5,1564.6,351.6,985.4,227.6
1962,3201.1,173,5.7,13.1,56.4,97.7,3028.1,774.9,1895.6,357.6
1962,1089.7,91.4,7.9,6.8,21.9,54.8,998.3,311.7,612.7,73.9
1962,3561,234.8,3.9,17.4,91.9,121.7,3326.2,934.1,2052.9,339.2
1962,2667.1,156.8,5,14.8,85.2,51.8,2510.3,681.1,1507.1,322.2
1962,1337.5,36.1,1.3,3.1,9.9,21.8,1301.4,395,760.1,146.2
1962,2237.7,72.1,4.3,9.4,29.9,28.6,2165.7,600,1381.4,184.2
1962,2832.7,605.9,11.6,10.5,200.5,383.3,2226.8,640.6,1257,329.2
1962,2537.4,192.1,7.7,5.8,63.3,115.3,2345.3,743.3,1433.7,168.3
1962,1545.4,151.2,10.3,10.7,31.7,98.5,1394.1,460.3,742.3,191.5
1962,2546.5,36.9,2.9,2.5,17.3,14.3,2509.5,647.2,1543,319.3
1962,1928.5,33.5,3,3.6,9,17.9,1895,352.1,1423.9,118.9
1962,2546,383.7,5.3,18.6,201.5,158.3,2162.4,555.7,1235,371.7
1962,1802.8,88.9,3.5,6.1,38.5,40.7,1713.9,470.5,1049.3,194.1
1962,1137.6,20.1,1.1,3.8,8.6,6.7,1117.4,263.8,780.3,73.4
1962,1567.9,66.6,2.8,6.6,21.6,35.5,1501.3,339.4,1059.7,102.3
1962,1331.4,96.1,6.5,5.7,36.4,47.5,1235.2,415.6,703.8,115.8
1962,1332,137.2,6.8,6.8,39,84.7,1194.8,327.1,683.5,184.3
1962,1191.1,27.7,1.4,2.8,7.8,15.7,1163.4,307.6,766.1,89.7
1962,1890.5,154,5.7,8.7,42,97.6,1736.4,403.8,1137.5,195.1
1962,1629.7,62.1,1.8,5,25.8,29.5,1567.5,410.4,853.5,303.6
1962,2780.4,226.6,3.4,14.2,96.5,112.5,2553.8,721.3,1633.1,199.4
1962,1547.1,48.2,0.9,3.6,29.6,14.1,1498.9,383.1,972.1,143.7
1962,752.2,92.5,7.3,4.3,8,73,659.7,227.5,377.3,54.9
1962,2309.2,185.4,5.5,12.6,79.9,87.3,2123.7,603.7,1317.9,202.1
1962,1983.8,55,2.1,7.3,19.9,25.7,1928.8,414.8,1289.6,224.4
1962,1292,42.9,1.5,6.3,18.5,16.6,1249.1,262.4,865.6,121
1962,3708.4,212.2,8.1,19.7,106.6,77.9,3496.1,886.9,2105.7,503.6
1962,999.7,28.2,2.4,3.5,3.5,18.8,971.5,281.8,604.6,85.1
1962,1743.8,126.1,3,8.2,45.1,69.8,1617.7,510.3,873,234.4
1962,2254.1,131.2,6.3,12.5,41.1,71.4,2122.9,515.3,1383.2,224.4
1962,0,0,0,0,0,0,0,0,0,0
1962,1231,201.5,7.9,7.7,17.7,168.3,1029.5,310.8,626.5,92.1
1962,954.4,19.9,1.2,4.2,6.2,8.3,934.4,189.6,661.4,83.5
1962,1565.8,82.9,3.2,5.2,37.9,36.6,1482.9,396.3,950.2,136.5
1962,1978.6,101.2,5.1,7.4,39.7,48.9,1877.4,513.2,1164.3,200
1962,2058.2,78.4,2.9,9.3,38.3,27.8,1979.8,443.6,1387.9,148.3
1962,1134.2,104.2,2.7,8.3,39.9,53.3,1029.9,327.9,565.7,136.3
1962,1908,46.5,0.8,2.1,12.5,31.1,1861.5,462.7,1131.6,267.3
1962,1676.8,123.6,10.1,7.1,19.2,87.2,1553.2,504.9,931.7,116.6
1962,1103.9,38.7,3.3,5.8,8.6,20.9,1065.2,255.6,715.7,93.9
1962,1385.1,103.7,6.1,6.6,34.8,56.1,1281.4,461.5,661.8,158.1
1962,2147.8,153.4,7.2,9.3,31.6,105.3,1994.4,573.5,1253,167.9
1962,2332.9,57.3,2.3,7.9,22.4,24.7,2275.6,431.2,1634.3,210
1962,1025.9,14.6,0.3,6.2,4.6,3.6,1011.3,374.6,546.9,89.7
1962,1763.7,184.8,8.7,8.2,25.6,142.4,1578.9,431.7,1018.7,128.4
1962,2333.7,63.6,2.5,6.3,30.3,24.6,2270.1,488.9,1603.9,177.3
1962,746.9,64.6,3.7,4.2,15.4,41.3,682.3,216.4,394.6,71.3
1962,1178.2,28.7,0.9,2.4,8.5,16.9,1149.5,214,831.9,103.6
1962,1607.4,42.7,3.3,7.7,14,17.8,1564.7,284.4,1144.4,135.9
1963,1333.6,182.7,10.2,5.7,24.7,142.1,1150.9,376.9,683.4,90.6
1963,2062.5,109.7,6.5,14.9,22.2,66.1,1952.8,381.5,1213.7,357.7
1963,3394.5,194.2,6,14.2,57.5,116.4,3200.4,830.3,2002.1,368
1963,1180.8,107.2,7.4,6.1,25.1,68.6,1073.7,327.6,662.8,83.3
1963,3787,241.2,3.8,17.5,93.6,126.3,3545.8,998.9,2184.7,362.2
1963,2660.8,130.3,4.8,14.5,68.3,42.6,2530.5,670.5,1553.5,306.5
1963,1577.1,44.7,1.8,3.3,13.7,25.9,1532.4,470.9,877.6,183.9
1963,2377.3,89.1,5,9,38,37,2288.2,707.1,1377.9,203.2
1963,3206,594,11.9,10.9,213.9,357.3,2612,875.2,1302.6,434.2
1963,2786,215,8.2,7,71.1,128.7,2571,824.6,1575.3,171.2
1963,1687.4,169.5,9.4,9.6,34.1,116.5,1517.9,468.6,841.6,207.7
1963,2542.5,31,1.7,2.6,11.5,15.1,2511.5,712.4,1557.9,241.2
1963,1880.2,50.8,2.5,5.5,12.2,30.6,1829.5,337.3,1394,98.2
1963,2585.3,330.3,5.1,13.9,188.5,122.7,2255,541.3,1332.1,381.6
1963,2050.2,102.7,2.8,8.1,47.3,44.5,1947.5,538.9,1195.7,213
1963,1179.3,22.6,1.3,3.6,9.1,8.7,1156.7,270.4,804.8,81.5
1963,1642,82.3,2.6,6.7,29.1,44,1559.7,370.1,1081.7,108
1963,1437.2,92.1,5.6,5.4,35.8,45.3,1345.1,436.4,780.6,128.1
1963,1554.8,169.6,6.9,6.2,42.3,114.2,1385.1,395.8,791.3,198.1
1963,1173.3,31.2,1.9,3.7,6.5,19,1142.2,302.6,737.9,101.6
1963,2142,160.6,6.3,9.4,52.3,92.6,1981.4,485.5,1258.3,237.6
1963,1725.9,66.2,1.9,4.5,27,32.7,1659.7,443.1,850.6,366
1963,2976.3,227.7,3.5,15,103.4,105.7,2748.6,725.5,1797.2,225.8
1963,1696.9,56.7,1.2,2.6,33.9,19,1640.3,404.6,1087.9,147.8
1963,650.8,77.7,7.2,4.3,8.3,57.9,573.1,186,338,49.2
1963,2565.7,199.4,5.2,13.7,87.5,93,2366.3,661.8,1464.2,240.3
1963,2156.9,58.6,2,8.3,20.7,27.6,2098.3,478.1,1375.1,245.1
1963,1431,40.5,2,7,15.5,16,1390.5,293.8,971.3,125.4
1963,4590.2,205.2,7.9,16.3,118.8,62.2,4385.1,1147,2565.5,672.6
1963,931.4,26.2,3.2,4.8,6.9,11.3,905.3,279.3,534.9,91.1
1963,1899,136.8,2.8,8.7,52,73.3,1762.3,556.3,945.9,260.1
1963,2422.3,135.2,5.6,12.2,37.8,79.6,2287.1,597.2,1457.9,232
1963,0,0,0,0,0,0,0,0,0,0
1963,1300.7,210.9,8.2,7.3,19,176.4,1089.9,335,648.7,106.1
1963,1039.4,28.7,2.1,3.5,9.6,13.6,1010.7,190.4,724,96.4
