state,stateAbbr,population,index,violent,murder,rape,robbery,aggrate,property,burglary,larceny,gta
Alabama,AL,4053000,4288.4,558,10.1,28.4,111.6,407.9,3730.3,1159,2304.4,267
Alaska,AK,534000,6245.9,570.4,8.6,72.7,88,401.1,5675.5,1161.8,3909.9,603.7
Arizona,AZ,3317000,7321.4,658.3,9.3,43,169.2,436.8,6663.1,1907.7,4336.6,418.8
Arkansas,AR,2372000,3924.7,394.8,8.1,28.9,79.7,278.2,3529.9,1029.9,2305.1,194.9
California,CA,26981000,6762.8,920.5,11.3,44.9,342.9,521.5,5842.3,1696.4,3383.9,762
Colorado,CO,3267000,7031.9,523.6,7,42.3,144.8,329.4,6508.3,1791.6,4230.8,486
Connecticut,CT,3189000,4828.8,425.8,4.6,23.8,192.2,205.1,4403,1197.6,2758.3,447.1
Delaware,DE,633000,4831.6,427,4.9,56.9,124.2,241.1,4404.6,1042.3,3090.4,271.9
District Of Columbia,DC,626000,8339.3,1505.3,31,52.4,754,667.9,6834,1727.6,4131.2,975.2
Florida,FL,11675000,8228.4,1036.5,11.7,52.7,366.8,605.3,7191.9,2221.3,4372.6,598.1
Georgia,GA,6104000,5455.4,587.6,11.2,43.9,213.9,318.6,4867.8,1453.1,2984.5,430.3
Hawaii,HI,1062000,5671.4,245.2,4.8,31,106.3,103.1,5426.2,1338.8,3759.1,328.2
Idaho,ID,1003000,4207,222.5,3.2,20,21.3,178,3984.4,1003.5,2799.7,181.3
Illinois,IL,11533000,5546.1,808.9,8.9,41.2,325.3,433.5,4746,1179.8,2937.9,628.3
Indiana,IN,5504000,3854.8,307.7,6,25.9,90,185.9,3547.1,886.7,2332.9,327.5
Iowa,IA,2851000,4150.7,235.1,1.8,12.5,42,178.8,3915.6,956,2801.3,158.3
Kansas,KS,2461000,4822.6,368.8,4.4,32.9,79.6,251.9,4453.8,1187.7,3008.1,258
Kentucky,KY,3728000,3092.2,334.4,6.7,23.1,82.5,222.2,2757.8,824.2,1740.4,193.2
Louisiana,LA,4501000,6078,758.2,12.8,40.1,223.8,481.6,5319.8,1460.8,3417.4,441.6
Maine,ME,1174000,3461.2,147,2,14.8,27.9,102.3,3314.2,803.5,2346.5,164.2
Maryland,MD,4463000,5601.8,833,9,43.6,304,476.4,4768.8,1245.6,2977.9,545.2
Massachusetts,MA,5832000,4723.3,556.9,3.6,29.7,192.7,330.9,4166.5,1070.9,2189.1,906.5
Michigan,MI,9145000,6491.5,803.9,11.3,67.4,301.3,423.9,5687.6,1509.5,3377.7,800.4
Minnesota,MN,4214000,4362.2,284.6,2.5,31.8,102,148.3,4077.6,1004.2,2785.3,288.1
Mississippi,MS,2625000,3345.1,274.1,11.2,25.8,64.6,172.4,3070.9,1075.9,1845,150.1
Missouri,MO,5066000,4654,578.6,9.2,29.2,170.2,370,4075.5,1136.1,2500.5,438.9
Montana,MT,819000,4478.9,157.4,2.9,17.3,19.5,117.6,4321.5,792.6,3314,214.9
Nebraska,NE,1598000,3855.7,262.6,3.1,24.6,51.1,183.7,3593.1,748.2,2677.3,167.6
Nevada,NV,963000,6289.7,718.9,12.6,64.9,286.9,354.5,5570.8,1603.9,3489.2,477.7
New Hampshire,NH,1027000,3330.1,139.5,2.2,21.5,23.6,92.2,3190.6,755,2207.9,227.7
New Jersey,NJ,7620000,5241.3,572.5,5.2,33.2,268.7,265.4,4668.8,1070.8,2822.5,775.5
New Mexico,NM,1479000,6625.9,725.6,11.5,46.9,129.5,537.7,5900.3,1844.7,3712.4,343.3
New York,NY,17772000,5767.7,985.9,10.7,30.5,514.1,430.6,4781.8,1221.1,2923.5,637.2
North Carolina,NC,6331000,4331.8,475.9,8.1,26.4,87.7,353.6,3856,1225,2422.7,208.3
North Dakota,ND,679000,2605.4,51.3,1,11.6,6.9,31.7,2554.2,385.1,2049.2,119.9
Ohio,OH,10752000,4358.7,420.9,5.5,38.6,142.1,234.7,3937.8,987.8,2574.2,375.7
Oklahoma,OK,3305000,6014.1,436.4,8.1,36.4,106.5,285.4,5577.7,1786.8,3141.7,649.2
Oregon,OR,2698000,7080.7,549.7,6.6,51.1,205.9,286.1,6531,1966.7,4162.8,401.5
Pennsylvania,PA,11889000,3101.8,358.6,5.5,25.1,152.1,175.8,2743.3,734.8,1654.1,354.4
Rhode Island,RI,975000,4902.5,335.5,3.5,21.4,118.7,191.9,4567,1293.9,2568.3,704.7
South Carolina,SC,3378000,5137.4,674.6,8.6,41.3,99.5,525.2,4462.8,1340.3,2845.8,276.6
South Dakota,SD,708000,2716,124.7,4,17.7,16.2,86.9,2591.2,553.5,1939,98.7
Tennessee,TN,4803000,4534.2,539.6,10.4,47,207.7,274.5,3994.6,1325.2,2125.8,543.6
Texas,TX,16682000,7408.1,658.9,13.5,51.6,239.9,353.9,6749.2,2048.6,3986.5,714.1
Utah,UT,1665000,5478.4,266.7,3.2,25.3,58.6,179.6,5211.7,914.9,4073.6,223.2
Vermont,VT,541000,3976.9,149.2,2,21.8,22.2,103.1,3827.7,949.2,2697.4,181.1
